ensid	gene	unt_1	unt_2	unt_3	unt_4	vitc_1	vitc_2	vitc_3	vitc_4	exp1	exp2	exp3	exp4
ENSMUSG00000000001	GNAI3	55.916	63.206	83.9309	80.6916	61.516	78.9	108.351	100.911	n.s	n.s	up	up
ENSMUSG00000000003	PBSN	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000028	CDC45	41.912	44.143	46.5398	49.6304	47.625	49.863	50.8414	52.0675	n.s	n.s	n.s	n.s
ENSMUSG00000000037	SCML2	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000049	APOH	0	0	0	0	0.004	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000056	NARF	16.699	24.412	15.478	17.1511	14.148	20.752	12.2036	12.4169	n.s	n.s	n.s	dn
ENSMUSG00000000058	CAV2	1.736	2.159	5.83102	6.67541	4.322	4.271	7.42108	8.79291	n.s	n.s	n.s	n.s
ENSMUSG00000000078	KLF6	29.401	40.72	24.3215	31.0966	72.576	43.425	30.2863	40.8078	up	n.s	n.s	up
ENSMUSG00000000085	SCMH1	7.548	7.525	6.3945	5.79009	3.979	7.32	5.49716	4.69604	n.s	n.s	n.s	n.s
ENSMUSG00000000088	COX5A	185.327	205.766	231.631	103.947	210.229	236.863	216.925	92.5197	n.s	n.s	n.s	n.s
ENSMUSG00000000093	TBX2	0.056	0.067	0.0227894	0.011888	0.041	0.075	0.0167807	0.00361741	n.s	n.s	n.s	n.s
ENSMUSG00000000094	TBX4	0	0	0.0554898	0.0506979	0	0	0.0975055	0.129843	n.s	n.s	n.s	n.s
ENSMUSG00000000103	ZFY2	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000120	NGFR	0.491	0.01	0	0	0.033	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000125	WNT3	0	0	0	0	0.007	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000126	WNT9A	0.008	0	0.338296	0.375769	0.026	0	0.0822504	0.220998	n.s	n.s	n.s	n.s
ENSMUSG00000000127	FER	9.917	8.917	4.49177	6.17144	11.428	10.765	4.41417	6.43411	n.s	n.s	n.s	n.s
ENSMUSG00000000131	XPO6	31.653	25.92	33.9252	37.1496	42.713	24.483	31.5761	34.0439	n.s	n.s	n.s	n.s
ENSMUSG00000000134	TFE3	7.968	6.996	13.2079	8.43577	11.404	7.305	13.8343	9.29699	n.s	n.s	n.s	n.s
ENSMUSG00000000142	AXIN2	0.005	0.006	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000000148	BAAT1	8.048	5.006	7.7177	8.09271	7.613	5.77	9.04253	9.04631	n.s	n.s	n.s	n.s
ENSMUSG00000000149	GNA12	114.041	80.024	91.5446	84.0834	110.779	90.523	88.9514	82.0784	n.s	n.s	n.s	n.s
ENSMUSG00000000154	SLC22A18	0.112	0	0.456712	0.358798	0.219	0.035	0.710236	0.428402	n.s	n.s	n.s	n.s
